SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
31,Banke,Baijanath Rural Municipality,Female Ward Member,6,46,F,Communist Party of Nepal (UML),1449,Elected
32,Banke,Baijanath Rural Municipality,Dalit Female Ward Member,6,36,F,Communist Party of Nepal (UML),1442,Elected
33,Banke,Baijanath Rural Municipality,Ward President,7,42,M,Nepali Congress,414,Elected
34,Banke,Baijanath Rural Municipality,Ward Member,7,58,M,Nepali Congress,385,Elected
35,Banke,Baijanath Rural Municipality,Ward Member,7,51,M,Nepali Congress,380,Elected
36,Banke,Baijanath Rural Municipality,Female Ward Member,7,41,F,Nepali Congress,384,Elected
37,Banke,Baijanath Rural Municipality,Dalit Female Ward Member,7,41,F,Nepali Congress,390,Elected
38,Banke,Baijanath Rural Municipality,Ward President,8,48,M,Nepali Congress,2053,Elected
39,Banke,Baijanath Rural Municipality,Ward Member,8,34,M,Nepali Congress,1926,Elected
40,Banke,Baijanath Rural Municipality,Ward Member,8,49,M,Nepali Congress,1835,Elected
41,Banke,Baijanath Rural Municipality,Female Ward Member,8,56,F,Nepali Congress,2021,Elected
42,Banke,Baijanath Rural Municipality,Dalit Female Ward Member,8,38,F,Nepali Congress,1959,Elected
1,Banke,Rapti Sonari Rural Municipality,Mayor,  ,50,M,Nepali Congress,8236,Elected
2,Banke,Rapti Sonari Rural Municipality,Vice-Mayor,  ,63,F,Nepali Congress,8203,Elected
3,Banke,Rapti Sonari Rural Municipality,Ward President,1,58,M,Nepali Congress,1037,Elected
4,Banke,Rapti Sonari Rural Municipality,Ward Member,1,40,M,Nepali Congress,1049,Elected
5,Banke,Rapti Sonari Rural Municipality,Ward Member,1,58,M,Nepali Congress,977,Elected
6,Banke,Rapti Sonari Rural Municipality,Female Ward Member,1,42,F,Communist Party of Nepal (UML),1069,Elected
7,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,1,33,F,Nepali Congress,1005,Elected
8,Banke,Rapti Sonari Rural Municipality,Ward President,2,32,M,Communist Party of Nepal (UML),1281,Elected
9,Banke,Rapti Sonari Rural Municipality,Ward Member,2,27,M,Communist Party of Nepal (UML),1403,Elected
10,Banke,Rapti Sonari Rural Municipality,Ward Member,2,39,M,Nepali Congress,1294,Elected
11,Banke,Rapti Sonari Rural Municipality,Female Ward Member,2,37,F,Communist Party of Nepal (UML),1374,Elected
12,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,2,45,F,Communist Party of Nepal (UML),1366,Elected
13,Banke,Rapti Sonari Rural Municipality,Ward President,3,51,M,Nepali Congress,971,Elected
14,Banke,Rapti Sonari Rural Municipality,Ward Member,3,58,M,Nepali Congress,952,Elected
15,Banke,Rapti Sonari Rural Municipality,Ward Member,3,35,M,Nepali Congress,943,Elected
16,Banke,Rapti Sonari Rural Municipality,Female Ward Member,3,35,F,Nepali Congress,954,Elected
17,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,3,49,F,Nepali Congress,951,Elected
18,Banke,Rapti Sonari Rural Municipality,Ward President,4,37,M,Nepali Congress,1095,Elected
19,Banke,Rapti Sonari Rural Municipality,Ward Member,4,58,M,Nepali Congress,1125,Elected
20,Banke,Rapti Sonari Rural Municipality,Ward Member,4,40,M,Nepali Congress,1073,Elected
21,Banke,Rapti Sonari Rural Municipality,Female Ward Member,4,35,F,Nepali Congress,1101,Elected
22,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,4,38,F,Nepali Congress,1105,Elected
23,Banke,Rapti Sonari Rural Municipality,Ward President,5,55,M,Communist Party of Nepal (Maoist Centre),1161,Elected
24,Banke,Rapti Sonari Rural Municipality,Ward Member,5,42,M,Communist Party of Nepal (Maoist Centre),1164,Elected
25,Banke,Rapti Sonari Rural Municipality,Ward Member,5,42,M,Communist Party of Nepal (Maoist Centre),1123,Elected
26,Banke,Rapti Sonari Rural Municipality,Female Ward Member,5,49,F,Communist Party of Nepal (Maoist Centre),1149,Elected
27,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,5,56,F,Communist Party of Nepal (Maoist Centre),1175,Elected
28,Banke,Rapti Sonari Rural Municipality,Ward President,6,36,M,Communist Party of Nepal (Maoist Centre),1110,Elected
29,Banke,Rapti Sonari Rural Municipality,Ward Member,6,54,M,Communist Party of Nepal (Maoist Centre),1101,Elected
30,Banke,Rapti Sonari Rural Municipality,Ward Member,6,47,M,Communist Party of Nepal (Maoist Centre),1092,Elected
31,Banke,Rapti Sonari Rural Municipality,Female Ward Member,6,43,F,Communist Party of Nepal (Maoist Centre),1111,Elected
32,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,6,44,F,Communist Party of Nepal (Maoist Centre),1132,Elected
33,Banke,Rapti Sonari Rural Municipality,Ward President,7,29,M,Communist Party of Nepal (Maoist Centre),1344,Elected
34,Banke,Rapti Sonari Rural Municipality,Ward Member,7,48,M,Communist Party of Nepal (Maoist Centre),1213,Elected
35,Banke,Rapti Sonari Rural Municipality,Ward Member,7,41,M,Communist Party of Nepal (Maoist Centre),1186,Elected
36,Banke,Rapti Sonari Rural Municipality,Female Ward Member,7,49,F,Communist Party of Nepal (Maoist Centre),1278,Elected
37,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,7,46,F,Communist Party of Nepal (Maoist Centre),1288,Elected
38,Banke,Rapti Sonari Rural Municipality,Ward President,8,42,M,Nepali Congress,760,Elected
39,Banke,Rapti Sonari Rural Municipality,Ward Member,8,50,M,Nepali Congress,716,Elected
40,Banke,Rapti Sonari Rural Municipality,Ward Member,8,54,M,Nepali Congress,676,Elected
41,Banke,Rapti Sonari Rural Municipality,Female Ward Member,8,49,F,Nepali Congress,742,Elected
42,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,8,31,F,Nepali Congress,693,Elected
43,Banke,Rapti Sonari Rural Municipality,Ward President,9,38,M,Nepali Congress,812,Elected
44,Banke,Rapti Sonari Rural Municipality,Ward Member,9,59,M,Nepali Congress,796,Elected
45,Banke,Rapti Sonari Rural Municipality,Ward Member,9,46,M,Nepali Congress,776,Elected
46,Banke,Rapti Sonari Rural Municipality,Female Ward Member,9,28,F,Nepali Congress,759,Elected
47,Banke,Rapti Sonari Rural Municipality,Dalit Female Ward Member,9,27,F,Nepali Congress,772,Elected
1,Bardiya,Gulariya Urban Municipality,Mayor,  ,40,M,Nepali Congress,6207,Elected
2,Bardiya,Gulariya Urban Municipality,Vice-Mayor,  ,46,F,Nepali Congress,6364,Elected
3,Bardiya,Gulariya Urban Municipality,Ward President,1,40,M,Communist Party of Nepal (UML),1000,Elected
4,Bardiya,Gulariya Urban Municipality,Ward Member,1,65,M,Communist Party of Nepal (UML),1009,Elected
5,Bardiya,Gulariya Urban Municipality,Ward Member,1,48,M,Communist Party of Nepal (UML),916,Elected
6,Bardiya,Gulariya Urban Municipality,Female Ward Member,1,56,F,Communist Party of Nepal (UML),989,Elected
7,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,1,30,F,Communist Party of Nepal (UML),955,Elected
8,Bardiya,Gulariya Urban Municipality,Ward President,2,53,M,Communist Party of Nepal (UML),709,Elected
9,Bardiya,Gulariya Urban Municipality,Ward Member,2,49,M,Communist Party of Nepal (UML),696,Elected
10,Bardiya,Gulariya Urban Municipality,Ward Member,2,56,M,Communist Party of Nepal (UML),685,Elected
11,Bardiya,Gulariya Urban Municipality,Female Ward Member,2,37,F,Communist Party of Nepal (UML),720,Elected
12,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,2,26,F,Communist Party of Nepal (UML),715,Elected
13,Bardiya,Gulariya Urban Municipality,Ward President,3,57,M,Nepali Congress,665,Elected
14,Bardiya,Gulariya Urban Municipality,Ward Member,3,35,M,Nepali Congress,696,Elected
15,Bardiya,Gulariya Urban Municipality,Ward Member,3,37,M,Nepali Congress,681,Elected
16,Bardiya,Gulariya Urban Municipality,Female Ward Member,3,37,F,Nepali Congress,736,Elected
17,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,3,46,F,Nepali Congress,716,Elected
18,Bardiya,Gulariya Urban Municipality,Ward President,4,53,M,Communist Party of Nepal (UML),1098,Elected
19,Bardiya,Gulariya Urban Municipality,Ward Member,4,52,M,Communist Party of Nepal (UML),1141,Elected
20,Bardiya,Gulariya Urban Municipality,Ward Member,4,47,M,Communist Party of Nepal (UML),1085,Elected
21,Bardiya,Gulariya Urban Municipality,Female Ward Member,4,49,F,Communist Party of Nepal (UML),1136,Elected
22,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,4,32,F,Communist Party of Nepal (UML),1138,Elected
23,Bardiya,Gulariya Urban Municipality,Ward President,5,48,F,Nepali Congress,620,Elected
24,Bardiya,Gulariya Urban Municipality,Ward Member,5,42,M,Nepali Congress,618,Elected
25,Bardiya,Gulariya Urban Municipality,Ward Member,5,47,M,Nepali Congress,617,Elected
26,Bardiya,Gulariya Urban Municipality,Female Ward Member,5,41,F,Nepali Congress,594,Elected
27,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,5,32,F,Nepali Congress,610,Elected
28,Bardiya,Gulariya Urban Municipality,Ward President,6,46,M,Nepali Congress,543,Elected
29,Bardiya,Gulariya Urban Municipality,Ward Member,6,36,M,Nepali Congress,625,Elected
30,Bardiya,Gulariya Urban Municipality,Ward Member,6,53,M,Nepali Congress,410,Elected
31,Bardiya,Gulariya Urban Municipality,Female Ward Member,6,41,F,Nepali Congress,551,Elected
32,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,6,34,F,Nepali Congress,532,Elected
33,Bardiya,Gulariya Urban Municipality,Ward President,7,61,F,Rastriya Prajatantra Party,457,Elected
34,Bardiya,Gulariya Urban Municipality,Ward Member,7,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),375,Elected
35,Bardiya,Gulariya Urban Municipality,Ward Member,7,36,M,Nepali Congress,369,Elected
36,Bardiya,Gulariya Urban Municipality,Female Ward Member,7,38,F,Sanghiya Samajbadi Forum-Nepal (SSFN),388,Elected
37,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,7,37,F,Nepali Congress,313,Elected
38,Bardiya,Gulariya Urban Municipality,Ward President,8,33,M,Communist Party of Nepal (Maoist Centre),501,Elected
39,Bardiya,Gulariya Urban Municipality,Ward Member,8,35,M,Communist Party of Nepal (Maoist Centre),509,Elected
40,Bardiya,Gulariya Urban Municipality,Ward Member,8,55,M,Communist Party of Nepal (Maoist Centre),446,Elected
41,Bardiya,Gulariya Urban Municipality,Female Ward Member,8,54,F,Communist Party of Nepal (Maoist Centre),528,Elected
42,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,8,32,F,Communist Party of Nepal (Maoist Centre),533,Elected
43,Bardiya,Gulariya Urban Municipality,Ward President,9,45,M,Communist Party of Nepal (Maoist Centre),462,Elected
44,Bardiya,Gulariya Urban Municipality,Ward Member,9,42,M,Communist Party of Nepal (Maoist Centre),445,Elected
45,Bardiya,Gulariya Urban Municipality,Ward Member,9,43,M,Communist Party of Nepal (Maoist Centre),420,Elected
46,Bardiya,Gulariya Urban Municipality,Female Ward Member,9,33,F,Communist Party of Nepal (Maoist Centre),416,Elected
47,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,9,26,F,Communist Party of Nepal (Maoist Centre),433,Elected
48,Bardiya,Gulariya Urban Municipality,Ward President,10,35,M,Nepali Congress,308,Elected
49,Bardiya,Gulariya Urban Municipality,Ward Member,10,30,M,Communist Party of Nepal (UML),373,Elected
50,Bardiya,Gulariya Urban Municipality,Ward Member,10,50,M,Rastriya Prajatantra Party,287,Elected
51,Bardiya,Gulariya Urban Municipality,Female Ward Member,10,39,F,Nepali Congress,355,Elected
52,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,10,32,F,Nepali Congress,300,Elected
53,Bardiya,Gulariya Urban Municipality,Ward President,11,55,M,Communist Party of Nepal (Maoist Centre),553,Elected
54,Bardiya,Gulariya Urban Municipality,Ward Member,11,42,M,Communist Party of Nepal (Maoist Centre),529,Elected
55,Bardiya,Gulariya Urban Municipality,Ward Member,11,49,M,Communist Party of Nepal (Maoist Centre),517,Elected
56,Bardiya,Gulariya Urban Municipality,Female Ward Member,11,56,F,Communist Party of Nepal (Maoist Centre),527,Elected
57,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,11,46,F,Communist Party of Nepal (Maoist Centre),529,Elected
58,Bardiya,Gulariya Urban Municipality,Ward President,12,38,M,Communist Party of Nepal (Maoist Centre),612,Elected
59,Bardiya,Gulariya Urban Municipality,Ward Member,12,43,M,Communist Party of Nepal (Maoist Centre),625,Elected
60,Bardiya,Gulariya Urban Municipality,Ward Member,12,47,M,Communist Party of Nepal (Maoist Centre),618,Elected
61,Bardiya,Gulariya Urban Municipality,Female Ward Member,12,43,F,Communist Party of Nepal (Maoist Centre),637,Elected
62,Bardiya,Gulariya Urban Municipality,Dalit Female Ward Member,12,34,F,Communist Party of Nepal (Maoist Centre),651,Elected
1,Bardiya,Geruwa Rural Municipality,Mayor,  ,46,M,Nepali Congress,6003,Elected
2,Bardiya,Geruwa Rural Municipality,Vice-Mayor,  ,48,F,Nepali Congress,5553,Elected
3,Bardiya,Geruwa Rural Municipality,Ward President,1,37,M,Communist Party of Nepal (Maoist Centre),1061,Elected
4,Bardiya,Geruwa Rural Municipality,Ward Member,1,40,M,Communist Party of Nepal (Maoist Centre),1059,Elected
5,Bardiya,Geruwa Rural Municipality,Ward Member,1,41,M,Communist Party of Nepal (Maoist Centre),1054,Elected
6,Bardiya,Geruwa Rural Municipality,Female Ward Member,1,36,F,Communist Party of Nepal (Maoist Centre),1031,Elected
7,Bardiya,Geruwa Rural Municipality,Dalit Female Ward Member,1,34,F,Communist Party of Nepal (Maoist Centre),1079,Elected
8,Bardiya,Geruwa Rural Municipality,Ward President,2,49,M,Nepali Congress,812,Elected
9,Bardiya,Geruwa Rural Municipality,Ward Member,2,52,M,Nepali Congress,818,Elected
10,Bardiya,Geruwa Rural Municipality,Ward Member,2,38,M,Nepali Congress,814,Elected
11,Bardiya,Geruwa Rural Municipality,Female Ward Member,2,39,F,Nepali Congress,818,Elected
12,Bardiya,Geruwa Rural Municipality,Dalit Female Ward Member,2,38,F,Nepali Congress,814,Elected
13,Bardiya,Geruwa Rural Municipality,Ward President,3,48,M,Nepali Congress,784,Elected
14,Bardiya,Geruwa Rural Municipality,Ward Member,3,38,M,Communist Party of Nepal (Maoist Centre),778,Elected
15,Bardiya,Geruwa Rural Municipality,Ward Member,3,48,M,Communist Party of Nepal (Maoist Centre),727,Elected
16,Bardiya,Geruwa Rural Municipality,Female Ward Member,3,42,F,Communist Party of Nepal (Maoist Centre),776,Elected
17,Bardiya,Geruwa Rural Municipality,Dalit Female Ward Member,3,63,F,Communist Party of Nepal (Maoist Centre),770,Elected
18,Bardiya,Geruwa Rural Municipality,Ward President,4,42,M,Communist Party of Nepal (UML),888,Elected
19,Bardiya,Geruwa Rural Municipality,Ward Member,4,66,M,Nepali Congress,901,Elected
20,Bardiya,Geruwa Rural Municipality,Ward Member,4,39,M,Nepali Congress,901,Elected
21,Bardiya,Geruwa Rural Municipality,Female Ward Member,4,36,F,Nepali Congress,921,Elected
22,Bardiya,Geruwa Rural Municipality,Dalit Female Ward Member,4,40,F,Nepali Congress,914,Elected
23,Bardiya,Geruwa Rural Municipality,Ward President,5,47,M,Nepali Congress,1498,Elected
24,Bardiya,Geruwa Rural Municipality,Ward Member,5,42,M,Nepali Congress,1540,Elected
25,Bardiya,Geruwa Rural Municipality,Ward Member,5,44,M,Nepali Congress,1526,Elected
26,Bardiya,Geruwa Rural Municipality,Female Ward Member,5,36,F,Nepali Congress,1528,Elected
27,Bardiya,Geruwa Rural Municipality,Dalit Female Ward Member,5,44,F,Nepali Congress,1528,Elected
28,Bardiya,Geruwa Rural Municipality,Ward President,6,41,M,Communist Party of Nepal (Maoist Centre),1270,Elected
29,Bardiya,Geruwa Rural Municipality,Ward Member,6,41,M,Communist Party of Nepal (Maoist Centre),920,Elected
30,Bardiya,Geruwa Rural Municipality,Ward Member,6,47,M,Communist Party of Nepal (Maoist Centre),865,Elected
31,Bardiya,Geruwa Rural Municipality,Female Ward Member,6,36,F,Communist Party of Nepal (Maoist Centre),920,Elected
32,Bardiya,Geruwa Rural Municipality,Dalit Female Ward Member,6,57,F,Communist Party of Nepal (Maoist Centre),920,Elected
1,Bardiya,Thakurbaba Urban Municipality,Mayor,  ,47,M,Communist Party of Nepal (UML),7074,Elected
2,Bardiya,Thakurbaba Urban Municipality,Vice-Mayor,  ,35,F,Communist Party of Nepal (Maoist Centre),7086,Elected
3,Bardiya,Thakurbaba Urban Municipality,Ward President,1,32,M,Communist Party of Nepal (Maoist Centre),812,Elected
4,Bardiya,Thakurbaba Urban Municipality,Ward Member,1,27,M,Communist Party of Nepal (Maoist Centre),722,Elected
5,Bardiya,Thakurbaba Urban Municipality,Ward Member,1,65,M,Communist Party of Nepal (Maoist Centre),700,Elected
6,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,1,41,F,Communist Party of Nepal (Maoist Centre),687,Elected
7,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,1,42,F,Communist Party of Nepal (Maoist Centre),710,Elected
8,Bardiya,Thakurbaba Urban Municipality,Ward President,2,35,M,Communist Party of Nepal (Maoist Centre),932,Elected
9,Bardiya,Thakurbaba Urban Municipality,Ward Member,2,29,M,Communist Party of Nepal (Maoist Centre),1008,Elected
10,Bardiya,Thakurbaba Urban Municipality,Ward Member,2,37,M,Communist Party of Nepal (Maoist Centre),973,Elected
11,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,2,34,F,Communist Party of Nepal (Maoist Centre),1001,Elected
12,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,2,42,F,Communist Party of Nepal (Maoist Centre),1000,Elected
13,Bardiya,Thakurbaba Urban Municipality,Ward President,3,29,M,Communist Party of Nepal (UML),1320,Elected
14,Bardiya,Thakurbaba Urban Municipality,Ward Member,3,54,M,Communist Party of Nepal (UML),1281,Elected
15,Bardiya,Thakurbaba Urban Municipality,Ward Member,3,38,M,Communist Party of Nepal (UML),1245,Elected
16,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,3,44,F,Communist Party of Nepal (UML),1300,Elected
17,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,3,22,F,Communist Party of Nepal (UML),1272,Elected
18,Bardiya,Thakurbaba Urban Municipality,Ward President,4,47,M,Communist Party of Nepal (Maoist Centre),817,Elected
19,Bardiya,Thakurbaba Urban Municipality,Ward Member,4,41,M,Communist Party of Nepal (Maoist Centre),757,Elected
20,Bardiya,Thakurbaba Urban Municipality,Ward Member,4,46,M,Communist Party of Nepal (Maoist Centre),757,Elected
21,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,4,24,F,Communist Party of Nepal (Maoist Centre),780,Elected
22,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,4,32,F,Communist Party of Nepal (Maoist Centre),798,Elected
23,Bardiya,Thakurbaba Urban Municipality,Ward President,5,47,M,Communist Party of Nepal (UML),884,Elected
24,Bardiya,Thakurbaba Urban Municipality,Ward Member,5,28,M,Communist Party of Nepal (UML),884,Elected
25,Bardiya,Thakurbaba Urban Municipality,Ward Member,5,49,M,Communist Party of Nepal (UML),831,Elected
26,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,5,27,F,Communist Party of Nepal (UML),904,Elected
27,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,5,27,F,Communist Party of Nepal (UML),899,Elected
28,Bardiya,Thakurbaba Urban Municipality,Ward President,6,55,M,Communist Party of Nepal (UML),832,Elected
29,Bardiya,Thakurbaba Urban Municipality,Ward Member,6,35,M,Communist Party of Nepal (UML),858,Elected
30,Bardiya,Thakurbaba Urban Municipality,Ward Member,6,44,M,Communist Party of Nepal (UML),820,Elected
31,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,6,24,F,Communist Party of Nepal (UML),876,Elected
32,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,6,26,F,Communist Party of Nepal (UML),855,Elected
33,Bardiya,Thakurbaba Urban Municipality,Ward President,7,43,M,Nepali Congress,723,Elected
34,Bardiya,Thakurbaba Urban Municipality,Ward Member,7,46,M,Nepali Congress,712,Elected
35,Bardiya,Thakurbaba Urban Municipality,Ward Member,7,51,M,Nepali Congress,710,Elected
36,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,7,33,F,Nepali Congress,723,Elected
37,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,7,54,F,Nepali Congress,710,Elected
38,Bardiya,Thakurbaba Urban Municipality,Ward President,8,44,M,Communist Party of Nepal (Maoist Centre),812,Elected
39,Bardiya,Thakurbaba Urban Municipality,Ward Member,8,44,M,Communist Party of Nepal (Maoist Centre),736,Elected
40,Bardiya,Thakurbaba Urban Municipality,Ward Member,8,54,M,Communist Party of Nepal (Maoist Centre),724,Elected
41,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,8,37,F,Communist Party of Nepal (Maoist Centre),756,Elected
42,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,8,52,F,Communist Party of Nepal (Maoist Centre),775,Elected
43,Bardiya,Thakurbaba Urban Municipality,Ward President,9,42,F,Communist Party of Nepal (Maoist Centre),1009,Elected
44,Bardiya,Thakurbaba Urban Municipality,Ward Member,9,29,M,Communist Party of Nepal (Maoist Centre),1049,Elected
45,Bardiya,Thakurbaba Urban Municipality,Ward Member,9,37,M,Communist Party of Nepal (Maoist Centre),1031,Elected
46,Bardiya,Thakurbaba Urban Municipality,Female Ward Member,9,42,F,Communist Party of Nepal (Maoist Centre),1040,Elected
47,Bardiya,Thakurbaba Urban Municipality,Dalit Female Ward Member,9,31,F,Communist Party of Nepal (Maoist Centre),1043,Elected
1,Bardiya,Badhaiyatal Rural Municipality,Mayor,  ,52,M,Communist Party of Nepal (UML),8198,Elected
2,Bardiya,Badhaiyatal Rural Municipality,Vice-Mayor,  ,46,F,Communist Party of Nepal (UML),8783,Elected
3,Bardiya,Badhaiyatal Rural Municipality,Ward President,1,52,M,Communist Party of Nepal (UML),1623,Elected
4,Bardiya,Badhaiyatal Rural Municipality,Ward Member,1,55,M,Communist Party of Nepal (UML),1550,Elected
5,Bardiya,Badhaiyatal Rural Municipality,Ward Member,1,67,M,Communist Party of Nepal (UML),1497,Elected
6,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,1,33,F,Communist Party of Nepal (UML),1565,Elected
7,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,1,52,F,Communist Party of Nepal (UML),1607,Elected
8,Bardiya,Badhaiyatal Rural Municipality,Ward President,2,72,M,Communist Party of Nepal (UML),1139,Elected
9,Bardiya,Badhaiyatal Rural Municipality,Ward Member,2,48,M,Communist Party of Nepal (UML),1235,Elected
10,Bardiya,Badhaiyatal Rural Municipality,Ward Member,2,46,F,Communist Party of Nepal (UML),1209,Elected
11,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,2,41,F,Communist Party of Nepal (UML),1302,Elected
12,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,2,45,F,Communist Party of Nepal (UML),1260,Elected
13,Bardiya,Badhaiyatal Rural Municipality,Ward President,3,59,M,Communist Party of Nepal (UML),961,Elected
14,Bardiya,Badhaiyatal Rural Municipality,Ward Member,3,56,M,Communist Party of Nepal (UML),944,Elected
15,Bardiya,Badhaiyatal Rural Municipality,Ward Member,3,63,M,Communist Party of Nepal (UML),873,Elected
16,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,3,40,F,Communist Party of Nepal (UML),976,Elected
17,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,3,40,F,Communist Party of Nepal (UML),952,Elected
18,Bardiya,Badhaiyatal Rural Municipality,Ward President,4,49,M,Communist Party of Nepal (Maoist Centre),1163,Elected
19,Bardiya,Badhaiyatal Rural Municipality,Ward Member,4,46,M,Communist Party of Nepal (Maoist Centre),1161,Elected
20,Bardiya,Badhaiyatal Rural Municipality,Ward Member,4,43,M,Communist Party of Nepal (Maoist Centre),1154,Elected
21,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,4,41,F,Communist Party of Nepal (Maoist Centre),1188,Elected
22,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,4,31,F,Communist Party of Nepal (Maoist Centre),1185,Elected
23,Bardiya,Badhaiyatal Rural Municipality,Ward President,5,47,M,Communist Party of Nepal (Maoist Centre),829,Elected
24,Bardiya,Badhaiyatal Rural Municipality,Ward Member,5,32,M,Communist Party of Nepal (Maoist Centre),958,Elected
25,Bardiya,Badhaiyatal Rural Municipality,Ward Member,5,57,M,Communist Party of Nepal (Maoist Centre),903,Elected
26,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,5,29,F,Communist Party of Nepal (Maoist Centre),908,Elected
27,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,5,43,F,Communist Party of Nepal (Maoist Centre),920,Elected
28,Bardiya,Badhaiyatal Rural Municipality,Ward President,6,56,M,Communist Party of Nepal (Maoist Centre),1160,Elected
29,Bardiya,Badhaiyatal Rural Municipality,Ward Member,6,41,M,Communist Party of Nepal (Maoist Centre),1173,Elected
30,Bardiya,Badhaiyatal Rural Municipality,Ward Member,6,42,M,Communist Party of Nepal (Maoist Centre),1128,Elected
31,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,6,33,F,Communist Party of Nepal (Maoist Centre),1269,Elected
32,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,6,57,F,Communist Party of Nepal (Maoist Centre),1130,Elected
33,Bardiya,Badhaiyatal Rural Municipality,Ward President,7,50,M,Communist Party of Nepal (UML),1226,Elected
34,Bardiya,Badhaiyatal Rural Municipality,Ward Member,7,52,F,Communist Party of Nepal (UML),1117,Elected
35,Bardiya,Badhaiyatal Rural Municipality,Ward Member,7,50,M,Communist Party of Nepal (UML),1106,Elected
36,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,7,30,F,Communist Party of Nepal (UML),1122,Elected
37,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,7,36,F,Communist Party of Nepal (UML),1119,Elected
38,Bardiya,Badhaiyatal Rural Municipality,Ward President,8,46,M,Communist Party of Nepal (UML),1321,Elected
39,Bardiya,Badhaiyatal Rural Municipality,Ward Member,8,45,M,Communist Party of Nepal (UML),1379,Elected
40,Bardiya,Badhaiyatal Rural Municipality,Ward Member,8,46,M,Communist Party of Nepal (UML),1373,Elected
41,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,8,42,F,Communist Party of Nepal (UML),1300,Elected
42,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,8,41,F,Communist Party of Nepal (UML),1407,Elected
43,Bardiya,Badhaiyatal Rural Municipality,Ward President,9,55,M,Communist Party of Nepal (Maoist Centre),603,Elected
44,Bardiya,Badhaiyatal Rural Municipality,Ward Member,9,34,M,Communist Party of Nepal (Maoist Centre),615,Elected
45,Bardiya,Badhaiyatal Rural Municipality,Ward Member,9,32,M,Communist Party of Nepal (Maoist Centre),607,Elected
46,Bardiya,Badhaiyatal Rural Municipality,Female Ward Member,9,38,F,Communist Party of Nepal (Maoist Centre),610,Elected
47,Bardiya,Badhaiyatal Rural Municipality,Dalit Female Ward Member,9,35,F,Communist Party of Nepal (Maoist Centre),609,Elected
1,Bardiya,Barbardiya Urban Municipality,Mayor,  ,40,M,Communist Party of Nepal (Maoist Centre),11042,Elected
2,Bardiya,Barbardiya Urban Municipality,Vice-Mayor,  ,36,F,Communist Party of Nepal (Maoist Centre),11011,Elected
