SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
3733,Province 2,Sarlahi,Dhankaul Rural Municipality,Female Ward Member,7,35,F,Nepali Congress,867,Elected
3734,Province 2,Sarlahi,Dhankaul Rural Municipality,Dalit Female Ward Member,7,44,F,Nepali Congress,869,Elected
3735,Province 2,Sarlahi,Parsa Rural Municipality,Mayor,,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"2,316",Elected
3736,Province 2,Sarlahi,Parsa Rural Municipality,Vice-Mayor,,34,F,Sanghiya Samajbadi Forum-Nepal (SSFN),"2,277",Elected
3737,Province 2,Sarlahi,Parsa Rural Municipality,Ward President,1,51,M,Communist Party of Nepal (Maoist Centre),256,Elected
3738,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,1,48,M,"Rastriya Janata Party, Nepal",233,Elected
3739,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,1,55,M,Communist Party of Nepal (Maoist Centre),231,Elected
3740,Province 2,Sarlahi,Parsa Rural Municipality,Female Ward Member,1,46,F,Communist Party of Nepal (Maoist Centre),248,Elected
3741,Province 2,Sarlahi,Parsa Rural Municipality,Dalit Female Ward Member,1,74,F,Communist Party of Nepal (Maoist Centre),243,Elected
3742,Province 2,Sarlahi,Parsa Rural Municipality,Ward President,2,54,M,Sanghiya Samajbadi Forum-Nepal (SSFN),417,Elected
3743,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,2,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),403,Elected
3744,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,2,33,M,Sanghiya Samajbadi Forum-Nepal (SSFN),387,Elected
3745,Province 2,Sarlahi,Parsa Rural Municipality,Female Ward Member,2,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),428,Elected
3746,Province 2,Sarlahi,Parsa Rural Municipality,Dalit Female Ward Member,2,48,F,Sanghiya Samajbadi Forum-Nepal (SSFN),416,Elected
3747,Province 2,Sarlahi,Parsa Rural Municipality,Ward President,3,50,M,"Rastriya Janata Party, Nepal",555,Elected
3748,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,3,56,M,"Rastriya Janata Party, Nepal",517,Elected
3749,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,3,40,M,"Rastriya Janata Party, Nepal",476,Elected
3750,Province 2,Sarlahi,Parsa Rural Municipality,Female Ward Member,3,37,F,"Rastriya Janata Party, Nepal",543,Elected
3751,Province 2,Sarlahi,Parsa Rural Municipality,Dalit Female Ward Member,3,38,F,"Rastriya Janata Party, Nepal",546,Elected
3752,Province 2,Sarlahi,Parsa Rural Municipality,Ward President,4,36,M,Sanghiya Samajbadi Forum-Nepal (SSFN),659,Elected
3753,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,4,56,M,Sanghiya Samajbadi Forum-Nepal (SSFN),681,Elected
3754,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,4,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),655,Elected
3755,Province 2,Sarlahi,Parsa Rural Municipality,Female Ward Member,4,55,F,Sanghiya Samajbadi Forum-Nepal (SSFN),682,Elected
3756,Province 2,Sarlahi,Parsa Rural Municipality,Dalit Female Ward Member,4,38,F,Sanghiya Samajbadi Forum-Nepal (SSFN),680,Elected
3757,Province 2,Sarlahi,Parsa Rural Municipality,Ward President,5,39,M,Sanghiya Samajbadi Forum-Nepal (SSFN),370,Elected
3758,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,5,61,M,Sanghiya Samajbadi Forum-Nepal (SSFN),346,Elected
3759,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,5,44,M,Sanghiya Samajbadi Forum-Nepal (SSFN),341,Elected
3760,Province 2,Sarlahi,Parsa Rural Municipality,Female Ward Member,5,73,F,Sanghiya Samajbadi Forum-Nepal (SSFN),360,Elected
3761,Province 2,Sarlahi,Parsa Rural Municipality,Dalit Female Ward Member,5,48,F,Sanghiya Samajbadi Forum-Nepal (SSFN),361,Elected
3762,Province 2,Sarlahi,Parsa Rural Municipality,Ward President,6,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),438,Elected
3763,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,6,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),414,Elected
3764,Province 2,Sarlahi,Parsa Rural Municipality,Ward Member,6,70,F,Sanghiya Samajbadi Forum-Nepal (SSFN),409,Elected
3765,Province 2,Sarlahi,Parsa Rural Municipality,Female Ward Member,6,49,F,Sanghiya Samajbadi Forum-Nepal (SSFN),423,Elected
3766,Province 2,Sarlahi,Parsa Rural Municipality,Dalit Female Ward Member,6,34,F,Sanghiya Samajbadi Forum-Nepal (SSFN),430,Elected
3767,Province 2,Sarlahi,Barahathawa Urban Municipality,Mayor,,46,M,Communist Party of Nepal (Maoist Centre),"7,308",Elected
3768,Province 2,Sarlahi,Barahathawa Urban Municipality,Vice Mayor,,46,F,Communist Party of Nepal (Maoist Centre),"6,499",Elected
3769,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,1,53,M,Communist Party of Nepal (Maoist Centre),807,Elected
3770,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,1,59,M,Communist Party of Nepal (Maoist Centre),775,Elected
3771,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,1,46,M,Communist Party of Nepal (Maoist Centre),770,Elected
3772,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,1,57,F,Communist Party of Nepal (Maoist Centre),791,Elected
3773,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,1,37,F,Communist Party of Nepal (Maoist Centre),785,Elected
3774,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,2,52,M,Communist Party of Nepal (Maoist Centre),573,Elected
3775,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,2,48,M,Communist Party of Nepal (Maoist Centre),582,Elected
3776,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,2,39,M,Communist Party of Nepal (Maoist Centre),526,Elected
3777,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,2,38,F,Communist Party of Nepal (Maoist Centre),564,Elected
3778,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,2,62,F,Communist Party of Nepal (Maoist Centre),560,Elected
3779,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,3,39,M,Communist Party of Nepal (Maoist Centre),609,Elected
3780,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,3,36,M,Communist Party of Nepal (Maoist Centre),639,Elected
3781,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,3,41,M,Communist Party of Nepal (Maoist Centre),597,Elected
3782,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,3,43,F,Communist Party of Nepal (Maoist Centre),639,Elected
3783,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,3,39,F,Communist Party of Nepal (Maoist Centre),626,Elected
3784,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,4,32,M,Nepali Congress,239,Elected
3785,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,4,45,M,Nepali Congress,238,Elected
3786,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,4,46,M,Nepali Congress,222,Elected
3787,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,4,35,F,Nepali Congress,236,Elected
3788,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,4,29,F,Nepali Congress,242,Elected
3789,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,5,39,M,Communist Party of Nepal (Maoist Centre),624,Elected
3790,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,5,40,M,Communist Party of Nepal (Maoist Centre),668,Elected
3791,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,5,43,M,Communist Party of Nepal (Maoist Centre),654,Elected
3792,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,5,35,F,Communist Party of Nepal (Maoist Centre),664,Elected
3793,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,5,42,F,Communist Party of Nepal (Maoist Centre),671,Elected
3794,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,6,32,M,Independent,279,Elected
3795,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,6,66,M,Independent,203,Elected
3796,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,6,35,M,Independent,184,Elected
3797,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,6,55,F,Independent,189,Elected
3798,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,6,45,F,Independent,192,Elected
3799,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,7,61,M,Nepali Congress,749,Elected
3800,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,7,34,M,Nepali Congress,693,Elected
3801,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,7,57,M,Nepali Congress,635,Elected
3802,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,7,45,F,Nepali Congress,740,Elected
3803,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,7,55,F,Nepali Congress,720,Elected
3804,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,8,35,M,Communist Party of Nepal (Maoist Centre),392,Elected
3805,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,8,35,M,Communist Party of Nepal (Maoist Centre),347,Elected
3806,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,8,58,M,Communist Party of Nepal (Maoist Centre),328,Elected
3807,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,8,34,F,Communist Party of Nepal (Maoist Centre),332,Elected
3808,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,8,39,F,Communist Party of Nepal (Maoist Centre),334,Elected
3809,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,9,36,M,Communist Party of Nepal (Maoist Centre),571,Elected
3810,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,9,64,M,Communist Party of Nepal (Maoist Centre),458,Elected
3811,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,9,50,M,Nepali Congress,423,Elected
3812,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,9,43,F,Communist Party of Nepal (Maoist Centre),504,Elected
3813,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,9,51,F,Communist Party of Nepal (Maoist Centre),453,Elected
3814,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,10,40,M,Communist Party of Nepal (Maoist Centre),329,Elected
3815,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,10,34,M,Communist Party of Nepal (Maoist Centre),327,Elected
3816,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,10,35,M,Communist Party of Nepal (Maoist Centre),326,Elected
3817,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,10,34,F,Communist Party of Nepal (Maoist Centre),329,Elected
3818,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,10,60,F,Communist Party of Nepal (Maoist Centre),340,Elected
3819,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,11,27,M,Communist Party of Nepal (Maoist Centre),379,Elected
3820,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,11,54,M,Communist Party of Nepal (Maoist Centre),306,Elected
3821,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,11,47,M,Communist Party of Nepal (Maoist Centre),288,Elected
3822,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,11,44,F,Communist Party of Nepal (Maoist Centre),327,Elected
3823,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,11,32,F,Communist Party of Nepal (Maoist Centre),336,Elected
3824,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,12,35,M,Communist Party of Nepal (Maoist Centre),270,Elected
3825,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,12,48,M,Communist Party of Nepal (Maoist Centre),260,Elected
3826,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,12,43,M,Communist Party of Nepal (Maoist Centre),258,Elected
3827,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,12,38,F,Communist Party of Nepal (Maoist Centre),260,Elected
3828,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,12,38,F,Communist Party of Nepal (Maoist Centre),263,Elected
3829,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,13,38,M,"Rastriya Janata Party, Nepal",355,Elected
3830,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,13,55,M,"Rastriya Janata Party, Nepal",355,Elected
3831,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,13,29,M,"Rastriya Janata Party, Nepal",342,Elected
3832,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,13,43,F,"Rastriya Janata Party, Nepal",347,Elected
3833,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,13,51,F,"Rastriya Janata Party, Nepal",357,Elected
3834,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,14,30,M,Nepali Congress,315,Elected
3835,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,14,37,M,Nepali Congress,297,Elected
3836,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,14,53,M,Nepali Congress,292,Elected
3837,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,14,34,F,Nepali Congress,306,Elected
3838,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,14,60,F,Nepali Congress,306,Elected
3839,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,15,59,M,Communist Party of Nepal (UML),589,Elected
3840,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,15,60,M,Communist Party of Nepal (UML),572,Elected
3841,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,15,54,M,Communist Party of Nepal (UML),559,Elected
3842,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,15,51,F,Communist Party of Nepal (UML),584,Elected
3843,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,15,49,F,Communist Party of Nepal (UML),577,Elected
3844,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,16,56,M,Nepali Congress,544,Elected
3845,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,16,66,M,Communist Party of Nepal (UML),455,Elected
3846,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,16,48,M,Nepali Congress,436,Elected
3847,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,16,43,F,Nepali Congress,514,Elected
3848,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,16,49,F,Nepali Congress,473,Elected
3849,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,17,33,M,Sanghiya Samajbadi Forum-Nepal (SSFN),508,Elected
3850,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,17,45,M,Sanghiya Samajbadi Forum-Nepal (SSFN),489,Elected
3851,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,17,64,M,Sanghiya Samajbadi Forum-Nepal (SSFN),483,Elected
3852,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,17,36,F,Sanghiya Samajbadi Forum-Nepal (SSFN),498,Elected
3853,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,17,50,F,Sanghiya Samajbadi Forum-Nepal (SSFN),498,Elected
3854,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward President,18,77,M,Sanghiya Samajbadi Forum-Nepal (SSFN),240,Elected
3855,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,18,46,M,Sanghiya Samajbadi Forum-Nepal (SSFN),257,Elected
3856,Province 2,Sarlahi,Barahathawa Urban Municipality,Ward Member,18,56,M,Sanghiya Samajbadi Forum-Nepal (SSFN),256,Elected
3857,Province 2,Sarlahi,Barahathawa Urban Municipality,Female Ward Member,18,58,F,Sanghiya Samajbadi Forum-Nepal (SSFN),244,Elected
3858,Province 2,Sarlahi,Barahathawa Urban Municipality,Dalit Female Ward Member,18,32,F,Sanghiya Samajbadi Forum-Nepal (SSFN),251,Elected
3859,Province 2,Sarlahi,Balara Urban Municipality,Mayor,,58,M,"Rastriya Janata Party, Nepal","4,905",Elected
3860,Province 2,Sarlahi,Balara Urban Municipality,Vice Mayor,,47,F,"Rastriya Janata Party, Nepal","4,871",Elected
3861,Province 2,Sarlahi,Balara Urban Municipality,Ward President,1,39,M,Nepali Congress,441,Elected
3862,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,1,68,M,Nepali Congress,443,Elected
3863,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,1,64,M,Nepali Congress,427,Elected
3864,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,1,48,F,Nepali Congress,478,Elected
3865,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,1,37,F,Nepali Congress,430,Elected
3866,Province 2,Sarlahi,Balara Urban Municipality,Ward President,2,35,M,"Rastriya Janata Party, Nepal",527,Elected
3867,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,2,35,M,"Rastriya Janata Party, Nepal",527,Elected
3868,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,2,34,M,"Rastriya Janata Party, Nepal",500,Elected
3869,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,2,34,F,"Rastriya Janata Party, Nepal",542,Elected
3870,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,2,52,F,"Rastriya Janata Party, Nepal",535,Elected
3871,Province 2,Sarlahi,Balara Urban Municipality,Ward President,3,33,M,"Rastriya Janata Party, Nepal",718,Elected
3872,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,3,37,M,"Rastriya Janata Party, Nepal",690,Elected
3873,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,3,38,M,"Rastriya Janata Party, Nepal",681,Elected
3874,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,3,44,F,"Rastriya Janata Party, Nepal",698,Elected
3875,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,3,38,F,"Rastriya Janata Party, Nepal",702,Elected
3876,Province 2,Sarlahi,Balara Urban Municipality,Ward President,4,73,M,Nepali Congress,534,Elected
3877,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,4,78,M,Nepali Congress,589,Elected
3878,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,4,48,M,Nepali Congress,587,Elected
3879,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,4,73,F,Nepali Congress,583,Elected
3880,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,4,68,F,Nepali Congress,595,Elected
3881,Province 2,Sarlahi,Balara Urban Municipality,Ward President,5,25,M,Nepali Congress,743,Elected
3882,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,5,41,M,Nepali Congress,689,Elected
3883,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,5,48,M,Nepali Congress,629,Elected
3884,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,5,27,F,Nepali Congress,717,Elected
3885,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,5,68,F,Nepali Congress,717,Elected
3886,Province 2,Sarlahi,Balara Urban Municipality,Ward President,6,68,M,"Rastriya Janata Party, Nepal",491,Elected
3887,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,6,49,M,"Rastriya Janata Party, Nepal",512,Elected
3888,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,6,29,M,"Rastriya Janata Party, Nepal",476,Elected
3889,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,6,45,F,"Rastriya Janata Party, Nepal",493,Elected
3890,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,6,44,F,"Rastriya Janata Party, Nepal",504,Elected
3891,Province 2,Sarlahi,Balara Urban Municipality,Ward President,7,45,M,"Rastriya Janata Party, Nepal",697,Elected
3892,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,7,41,M,"Rastriya Janata Party, Nepal",701,Elected
3893,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,7,53,M,"Rastriya Janata Party, Nepal",645,Elected
3894,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,7,32,F,"Rastriya Janata Party, Nepal",686,Elected
3895,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,7,57,F,"Rastriya Janata Party, Nepal",692,Elected
3896,Province 2,Sarlahi,Balara Urban Municipality,Ward President,8,25,M,"Rastriya Janata Party, Nepal",468,Elected
3897,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,8,32,M,Communist Party of Nepal (Maoist Centre),466,Elected
3898,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,8,45,M,"Rastriya Janata Party, Nepal",457,Elected
3899,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,8,39,F,"Rastriya Janata Party, Nepal",468,Elected
3900,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,8,28,F,Communist Party of Nepal (Maoist Centre),470,Elected
3901,Province 2,Sarlahi,Balara Urban Municipality,Ward President,9,52,M,Nepali Congress,394,Elected
3902,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,9,34,M,"Rastriya Janata Party, Nepal",356,Elected
3903,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,9,57,M,"Rastriya Janata Party, Nepal",330,Elected
3904,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,9,46,F,"Rastriya Janata Party, Nepal",357,Elected
3905,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,9,65,F,"Rastriya Janata Party, Nepal",368,Elected
3906,Province 2,Sarlahi,Balara Urban Municipality,Ward President,10,28,M,Communist Party of Nepal (Maoist Centre),528,Elected
3907,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,10,34,M,Communist Party of Nepal (Maoist Centre),511,Elected
3908,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,10,45,M,Communist Party of Nepal (Maoist Centre),485,Elected
3909,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,10,37,F,Communist Party of Nepal (Maoist Centre),501,Elected
3910,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,10,52,F,Communist Party of Nepal (Maoist Centre),504,Elected
3911,Province 2,Sarlahi,Balara Urban Municipality,Ward President,11,65,M,"Rastriya Janata Party, Nepal",417,Elected
3912,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,11,58,M,"Rastriya Janata Party, Nepal",404,Elected
3913,Province 2,Sarlahi,Balara Urban Municipality,Ward Member,11,58,M,"Rastriya Janata Party, Nepal",374,Elected
3914,Province 2,Sarlahi,Balara Urban Municipality,Female Ward Member,11,58,F,"Rastriya Janata Party, Nepal",413,Elected
3915,Province 2,Sarlahi,Balara Urban Municipality,Dalit Female Ward Member,11,41,F,"Rastriya Janata Party, Nepal",413,Elected
3916,Province 2,Sarlahi,Basbariya Rural Municipality,Mayor,,50,M,Nepali Congress,"2,255",Elected
3917,Province 2,Sarlahi,Basbariya Rural Municipality,Vice-Mayor,,24,F,"Rastriya Janata Party, Nepal","2,544",Elected
3918,Province 2,Sarlahi,Basbariya Rural Municipality,Ward President,1,35,M,"Rastriya Janata Party, Nepal",770,Elected
3919,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,1,38,M,"Rastriya Janata Party, Nepal",775,Elected
3920,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,1,53,M,"Rastriya Janata Party, Nepal",767,Elected
3921,Province 2,Sarlahi,Basbariya Rural Municipality,Female Ward Member,1,47,F,"Rastriya Janata Party, Nepal",765,Elected
3922,Province 2,Sarlahi,Basbariya Rural Municipality,Dalit Female Ward Member,1,66,F,"Rastriya Janata Party, Nepal",772,Elected
3923,Province 2,Sarlahi,Basbariya Rural Municipality,Ward President,2,42,M,Communist Party of Nepal (UML),359,Elected
3924,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,2,50,M,Communist Party of Nepal (UML),349,Elected
3925,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,2,47,M,Communist Party of Nepal (UML),343,Elected
3926,Province 2,Sarlahi,Basbariya Rural Municipality,Female Ward Member,2,34,F,Communist Party of Nepal (UML),347,Elected
3927,Province 2,Sarlahi,Basbariya Rural Municipality,Dalit Female Ward Member,2,40,F,Communist Party of Nepal (UML),352,Elected
3928,Province 2,Sarlahi,Basbariya Rural Municipality,Ward President,3,62,M,Nepali Congress,513,Elected
3929,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,3,48,M,Nepali Congress,449,Elected
3930,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,3,27,M,Nepali Congress,425,Elected
3931,Province 2,Sarlahi,Basbariya Rural Municipality,Female Ward Member,3,68,F,Nepali Congress,465,Elected
3932,Province 2,Sarlahi,Basbariya Rural Municipality,Dalit Female Ward Member,3,47,F,Nepali Congress,459,Elected
3933,Province 2,Sarlahi,Basbariya Rural Municipality,Ward President,4,35,M,Bahujan Shakti Party,592,Elected
3934,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,4,69,M,Bahujan Shakti Party,604,Elected
3935,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,4,35,M,Bahujan Shakti Party,583,Elected
3936,Province 2,Sarlahi,Basbariya Rural Municipality,Female Ward Member,4,46,F,Bahujan Shakti Party,599,Elected
3937,Province 2,Sarlahi,Basbariya Rural Municipality,Dalit Female Ward Member,4,37,F,Bahujan Shakti Party,597,Elected
3938,Province 2,Sarlahi,Basbariya Rural Municipality,Ward President,5,27,M,Nepali Congress,636,Elected
3939,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,5,34,M,Nepali Congress,614,Elected
3940,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,5,60,M,Nepali Congress,608,Elected
3941,Province 2,Sarlahi,Basbariya Rural Municipality,Female Ward Member,5,74,F,Nepali Congress,640,Elected
3942,Province 2,Sarlahi,Basbariya Rural Municipality,Dalit Female Ward Member,5,56,F,Nepali Congress,637,Elected
3943,Province 2,Sarlahi,Basbariya Rural Municipality,Ward President,6,29,M,Sanghiya Samajbadi Forum-Nepal (SSFN),370,Elected
3944,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,6,40,M,Sanghiya Samajbadi Forum-Nepal (SSFN),365,Elected
3945,Province 2,Sarlahi,Basbariya Rural Municipality,Ward Member,6,50,M,Sanghiya Samajbadi Forum-Nepal (SSFN),353,Elected
3946,Province 2,Sarlahi,Basbariya Rural Municipality,Female Ward Member,6,39,F,Sanghiya Samajbadi Forum-Nepal (SSFN),372,Elected
3947,Province 2,Sarlahi,Basbariya Rural Municipality,Dalit Female Ward Member,6,34,F,Sanghiya Samajbadi Forum-Nepal (SSFN),372,Elected
3948,Province 2,Sarlahi,Bagmati Urban Municipality,Mayor,,38,M,Communist Party of Nepal (Maoist Centre),"7,281",Elected
3949,Province 2,Sarlahi,Bagmati Urban Municipality,Vice Mayor,,37,F,Communist Party of Nepal (Maoist Centre),"6,394",Elected
3950,Province 2,Sarlahi,Bagmati Urban Municipality,Ward President,1,55,M,Communist Party of Nepal (Maoist Centre),564,Elected
3951,Province 2,Sarlahi,Bagmati Urban Municipality,Ward Member,1,46,M,Communist Party of Nepal (UML),639,Elected
